model_name,model_size,context_length,temperature,top_p,average_first_token_latency_sec,average_total_response_time_sec,average_tokens_per_sec_estimate,average_peak_ram_gb,average_peak_cpu_usage_percent,success_rate
llama3.2:1b,1B,1024,0.2,0.8,0.211,6.3996,53.032,8.1296,24.7667,1.0
llama3.2:1b,1B,1024,0.2,0.95,0.1875,8.6446,42.4488,8.2118,29.7933,1.0
llama3.2:1b,1B,1024,0.7,0.8,0.1928,9.0212,35.5937,8.2343,28.5333,1.0
llama3.2:1b,1B,1024,0.7,0.95,0.2155,9.9184,34.8304,8.2254,52.9667,1.0
llama3.2:1b,1B,2048,0.2,0.8,0.2452,7.3976,45.0423,8.0607,37.6867,1.0
llama3.2:1b,1B,2048,0.2,0.95,0.1769,6.7569,48.654,8.1512,27.62,1.0
llama3.2:1b,1B,2048,0.7,0.8,0.1758,6.7857,52.6843,8.1693,39.92,1.0
llama3.2:1b,1B,2048,0.7,0.95,0.1738,5.9204,54.057,8.1685,29.1533,1.0
llama3.2:3b,3B,1024,0.2,0.8,0.846,9.6113,27.564,8.6408,27.3533,1.0
llama3.2:3b,3B,1024,0.2,0.95,0.2069,9.5698,27.827,8.4883,41.4133,1.0
llama3.2:3b,3B,1024,0.7,0.8,0.2117,9.748,27.3681,8.1028,46.9133,1.0
llama3.2:3b,3B,1024,0.7,0.95,0.2034,8.6626,30.5891,8.3119,51.3333,1.0
llama3.2:3b,3B,2048,0.2,0.8,0.3022,8.4813,32.9581,8.1057,39.0733,1.0
llama3.2:3b,3B,2048,0.2,0.95,0.2082,8.9433,30.5115,8.235,26.3867,1.0
llama3.2:3b,3B,2048,0.7,0.8,0.2052,8.8204,31.4298,8.3232,31.9667,1.0
llama3.2:3b,3B,2048,0.7,0.95,0.2067,9.1084,29.5997,8.584,39.72,1.0
mistral:7b,7B,1024,0.2,0.8,0.5466,29.6096,8.5437,9.7221,56.7533,1.0
mistral:7b,7B,1024,0.2,0.95,0.2801,35.2869,7.9852,9.4626,61.84,1.0
mistral:7b,7B,1024,0.7,0.8,0.2767,24.6422,10.3123,9.609,49.38,1.0
mistral:7b,7B,1024,0.7,0.95,0.1653,15.993,15.103,9.4292,33.8667,1.0
mistral:7b,7B,2048,0.2,0.8,0.2598,17.638,14.141,9.7187,45.3467,1.0
mistral:7b,7B,2048,0.2,0.95,0.174,15.6644,16.1125,9.7973,27.6267,1.0
mistral:7b,7B,2048,0.7,0.8,0.1752,16.2995,16.0905,9.7724,29.4067,1.0
mistral:7b,7B,2048,0.7,0.95,0.1775,16.9625,15.9022,9.6165,43.84,1.0
qwen2.5:3b,3B,1024,0.2,0.8,0.3317,11.4494,29.1044,9.0007,41.0133,1.0
qwen2.5:3b,3B,1024,0.2,0.95,0.1941,12.1375,29.0791,8.2823,53.2667,1.0
qwen2.5:3b,3B,1024,0.7,0.8,0.1884,11.5968,29.2412,8.1722,38.88,1.0
qwen2.5:3b,3B,1024,0.7,0.95,0.1854,11.4931,29.9617,8.2611,31.36,1.0
qwen2.5:3b,3B,2048,0.2,0.8,0.2436,11.231,30.7126,8.2079,28.62,1.0
qwen2.5:3b,3B,2048,0.2,0.95,0.1881,10.5945,30.4348,8.3884,34.6667,1.0
qwen2.5:3b,3B,2048,0.7,0.8,0.1891,11.8965,29.2397,8.4579,39.04,1.0
qwen2.5:3b,3B,2048,0.7,0.95,0.2207,15.3984,22.2984,8.6367,57.7867,1.0
