model_name,model_size,context_length,temperature,top_p,average_tokens_per_sec,average_latency_sec,average_peak_ram_gb,success_rate,speed_score,memory_efficiency_score,feasibility_score,quality_score_normalized,partial_score_used,feasibility_status,final_score,reason_for_selection,speed_rank,memory_rank,final_rank
llama3.2:1b,1B,2048,0.7,0.95,54.057,5.9204,8.1685,1.0,0.9701,0.4895,1.0,,True,smooth,0.8314,"Balanced partial score from speed, memory efficiency, and feasibility",1,6,1
llama3.2:1b,1B,1024,0.2,0.8,53.032,6.3996,8.1296,1.0,0.9517,0.4919,1.0,,True,smooth,0.8251,"Balanced partial score from speed, memory efficiency, and feasibility",2,4,2
llama3.2:1b,1B,2048,0.7,0.8,52.6843,6.7857,8.1693,1.0,0.9455,0.4894,1.0,,True,smooth,0.8219,"Balanced partial score from speed, memory efficiency, and feasibility",3,7,3
llama3.2:1b,1B,2048,0.2,0.95,48.654,6.7569,8.1512,1.0,0.8732,0.4905,1.0,,True,smooth,0.7945,"Balanced partial score from speed, memory efficiency, and feasibility",4,5,4
llama3.2:1b,1B,2048,0.2,0.8,45.0423,7.3976,8.0607,1.0,0.8084,0.4962,1.0,,True,smooth,0.7713,"Balanced partial score from speed, memory efficiency, and feasibility",5,1,5
llama3.2:1b,1B,1024,0.2,0.95,42.4488,8.6446,8.2118,1.0,0.7618,0.4868,1.0,,True,smooth,0.7505,"Balanced partial score from speed, memory efficiency, and feasibility",6,10,6
llama3.2:1b,1B,1024,0.7,0.8,35.5937,9.0212,8.2343,1.0,0.6388,0.4854,1.0,,True,smooth,0.7027,"Balanced partial score from speed, memory efficiency, and feasibility",7,12,7
llama3.2:1b,1B,1024,0.7,0.95,34.8304,9.9184,8.2254,1.0,0.6251,0.4859,1.0,,True,smooth,0.6976,"Balanced partial score from speed, memory efficiency, and feasibility",8,11,8
llama3.2:3b,3B,2048,0.2,0.8,32.9581,8.4813,8.1057,1.0,0.5915,0.4934,1.0,,True,smooth,0.687,"Balanced partial score from speed, memory efficiency, and feasibility",9,3,9
llama3.2:3b,3B,2048,0.7,0.8,31.4298,8.8204,8.3232,1.0,0.5641,0.4798,1.0,,True,smooth,0.6723,"Balanced partial score from speed, memory efficiency, and feasibility",10,17,10
qwen2.5:3b,3B,2048,0.2,0.8,30.7126,11.231,8.2079,1.0,0.5512,0.487,1.0,,True,smooth,0.6695,"Balanced partial score from speed, memory efficiency, and feasibility",11,9,11
llama3.2:3b,3B,2048,0.2,0.95,30.5115,8.9433,8.235,1.0,0.5476,0.4853,1.0,,True,smooth,0.6676,"Balanced partial score from speed, memory efficiency, and feasibility",13,13,12
llama3.2:3b,3B,1024,0.7,0.95,30.5891,8.6626,8.3119,1.0,0.549,0.4805,1.0,,True,smooth,0.6667,"Balanced partial score from speed, memory efficiency, and feasibility",12,16,13
qwen2.5:3b,3B,2048,0.2,0.95,30.4348,10.5945,8.3884,1.0,0.5462,0.4757,1.0,,True,smooth,0.6641,"Balanced partial score from speed, memory efficiency, and feasibility",14,18,14
qwen2.5:3b,3B,1024,0.7,0.95,29.9617,11.4931,8.2611,1.0,0.5377,0.4837,1.0,,True,smooth,0.6633,"Balanced partial score from speed, memory efficiency, and feasibility",15,14,15
qwen2.5:3b,3B,1024,0.7,0.8,29.2412,11.5968,8.1722,1.0,0.5248,0.4892,1.0,,True,smooth,0.6601,"Balanced partial score from speed, memory efficiency, and feasibility",17,8,16
qwen2.5:3b,3B,1024,0.2,0.95,29.0791,12.1375,8.2823,1.0,0.5219,0.4824,1.0,,True,smooth,0.6568,"Balanced partial score from speed, memory efficiency, and feasibility",20,15,17
llama3.2:3b,3B,2048,0.7,0.95,29.5997,9.1084,8.584,1.0,0.5312,0.4635,1.0,,True,smooth,0.6546,"Balanced partial score from speed, memory efficiency, and feasibility",16,21,18
qwen2.5:3b,3B,2048,0.7,0.8,29.2397,11.8965,8.4579,1.0,0.5247,0.4714,1.0,,True,smooth,0.6546,"Balanced partial score from speed, memory efficiency, and feasibility",18,19,19
llama3.2:3b,3B,1024,0.7,0.8,27.3681,9.748,8.1028,1.0,0.4912,0.4936,1.0,,True,smooth,0.6485,"Balanced partial score from speed, memory efficiency, and feasibility",23,2,20
llama3.2:3b,3B,1024,0.2,0.95,27.827,9.5698,8.4883,1.0,0.4994,0.4695,1.0,,True,smooth,0.6442,"Balanced partial score from speed, memory efficiency, and feasibility",21,20,21
qwen2.5:3b,3B,1024,0.2,0.8,29.1044,11.4494,9.0007,1.0,0.5223,0.4375,1.0,,True,smooth,0.6432,"Balanced partial score from speed, memory efficiency, and feasibility",19,24,22
llama3.2:3b,3B,1024,0.2,0.8,27.564,9.6113,8.6408,1.0,0.4947,0.46,1.0,,True,smooth,0.6395,"Balanced partial score from speed, memory efficiency, and feasibility",22,23,23
qwen2.5:3b,3B,2048,0.7,0.95,22.2984,15.3984,8.6367,1.0,0.4002,0.4602,1.0,,True,smooth,0.6032,"Balanced partial score from speed, memory efficiency, and feasibility",24,22,24
mistral:7b,7B,2048,0.7,0.95,15.9022,16.9625,9.6165,1.0,0.2854,0.399,1.0,,True,smooth,0.5402,"Balanced partial score from speed, memory efficiency, and feasibility",27,28,25
mistral:7b,7B,1024,0.7,0.95,15.103,15.993,9.4292,1.0,0.271,0.4107,1.0,,True,smooth,0.5383,"Balanced partial score from speed, memory efficiency, and feasibility",28,25,26
mistral:7b,7B,2048,0.2,0.95,16.1125,15.6644,9.7973,1.0,0.2892,0.3877,1.0,,True,smooth,0.5382,"Balanced partial score from speed, memory efficiency, and feasibility",25,32,27
mistral:7b,7B,2048,0.7,0.8,16.0905,16.2995,9.7724,1.0,0.2888,0.3892,0.9667,,True,smooth,0.5283,"Balanced partial score from speed, memory efficiency, and feasibility",26,31,28
mistral:7b,7B,2048,0.2,0.8,14.141,17.638,9.7187,1.0,0.2538,0.3926,0.9667,,True,smooth,0.5158,"Balanced partial score from speed, memory efficiency, and feasibility",29,29,29
mistral:7b,7B,1024,0.7,0.8,10.3123,24.6422,9.609,1.0,0.1851,0.3994,0.8667,,True,smooth,0.4608,"Balanced partial score from speed, memory efficiency, and feasibility",30,27,30
mistral:7b,7B,1024,0.2,0.8,8.5437,29.6096,9.7221,1.0,0.1533,0.3924,0.7333,,True,slow,0.4053,"Balanced partial score from speed, memory efficiency, and feasibility",31,30,31
mistral:7b,7B,1024,0.2,0.95,7.9852,35.2869,9.4626,1.0,0.1433,0.4086,0.7,,True,slow,0.3962,"Balanced partial score from speed, memory efficiency, and feasibility",32,26,32
